iter	Passed	Remaining
552	4982	4027
553	4991	4018
554	4999	4008
555	5008	3999
556	5017	3990
557	5026	3981
558	5034	3972
559	5043	3963
560	5052	3953
561	5061	3944
562	5069	3935
563	5078	3926
564	5087	3916
565	5096	3907
566	5100	3894
567	5108	3885
568	5117	3876
569	5127	3868
570	5136	3858
571	5146	3850
572	5154	3841
573	5163	3832
574	5172	3823
575	5181	3814
576	5190	3804
577	5199	3796
578	5207	3786
579	5217	3777
580	5225	3768
581	5234	3759
582	5242	3749
583	5251	3740
584	5260	3731
585	5268	3722
586	5277	3712
587	5285	3703
588	5294	3694
589	5303	3685
590	5311	3675
591	5320	3666
592	5329	3658
593	5338	3648
594	5346	3639
595	5355	3630
596	5364	3621
597	5373	3612
598	5381	3602
599	5391	3594
600	5400	3585
601	5409	3576
602	5418	3567
603	5428	3559
604	5437	3550
605	5447	3541
606	5457	3533
607	5467	3524
608	5476	3516
609	5486	3507
610	5496	3499
611	5506	3490
612	5515	3482
613	5525	3473
614	5534	3464
615	5544	3456
616	5553	3447
617	5562	3438
618	5570	3428
619	5579	3419
620	5588	3410
621	5597	3401
622	5606	3392
623	5615	3383
624	5624	3374
625	5632	3365
626	5640	3355
627	5650	3346
628	5658	3337
629	5667	3328
630	5676	3319
631	5685	3310
632	5695	3302
633	5704	3293
634	5714	3284
635	5724	3276
636	5734	3268
637	5757	3266
638	5766	3257
639	5775	3248
640	5785	3239
641	5794	3231
642	5804	3222
643	5813	3213
644	5823	3205
645	5833	3196
646	5842	3187
647	5851	3178
648	5860	3169
649	5869	3160
650	5879	3151
651	5888	3142
652	5899	3134
653	5908	3125
654	5918	3117
655	5927	3108
656	5937	3099
657	5948	3091
658	5959	3083
659	5969	3075
660	5979	3066
661	5988	3057
662	5998	3049
663	6008	3040
664	6018	3031
665	6027	3023
666	6036	3013
667	6045	3004
668	6054	2995
669	6063	2986
670	6072	2977
671	6081	2968
672	6090	2959
673	6099	2950
674	6109	2941
675	6118	2932
676	6127	2923
677	6135	2914
678	6145	2905
679	6153	2895
680	6161	2886
681	6170	2877
682	6179	2868
683	6188	2859
684	6196	2849
685	6205	2840
686	6213	2830
687	6221	2821
688	6230	2812
689	6239	2803
690	6248	2794
691	6257	2785
692	6266	2776
693	6275	2767
694	6286	2758
695	6297	2750
696	6307	2741
697	6316	2733
698	6327	2724
699	6337	2716
700	6347	2707
701	6357	2698
702	6366	2689
703	6378	2681
704	6387	2672
705	6397	2664
706	6407	2655
707	6416	2646
708	6425	2637
709	6434	2628
710	6443	2619
711	6452	2609
712	6460	2600
713	6469	2591
714	6478	2582
715	6486	2573
716	6495	2563
717	6504	2554
718	6513	2545
719	6521	2536
720	6529	2526
721	6539	2517
722	6548	2509
723	6557	2499
724	6568	2491
725	6581	2483
726	6593	2476
727	6603	2467
728	6619	2460
729	6642	2456
730	6657	2450
731	6668	2441
732	6681	2433
733	6692	2425
734	6705	2417
735	6715	2408
736	6724	2399
737	6734	2390
738	6744	2382
739	6753	2372
740	6762	2363
741	6782	2358
742	6790	2348
743	6798	2339
744	6806	2329
745	6816	2320
746	6824	2311
747	6833	2302
748	6842	2293
749	6851	2283
750	6860	2274
751	6870	2265
752	6881	2257
753	6891	2248
754	6901	2239
755	6911	2230
756	6920	2221
757	6932	2213
758	6941	2204
759	6951	2195
760	6960	2186
761	6970	2177
762	6980	2168
763	6991	2159
764	7002	2151
